Region,Soil_Type,Crop,Rainfall_mm,Temperature_Celsius,Fertilizer_Used,Irrigation_Used,Weather_Condition,Days_to_Harvest,Yield_tons_per_hectare
Norte,Franco,Cebada,147.9980252926104,29.79404241557257,False,False,Soleado,106,1.127443335982929
Sur,Siltoso,Trigo,730.379174445627,31.6206873708058,True,True,Nublado,110,7.248251218445701
Oeste,Arcilloso,Trigo,357.90235724297685,31.59343138976995,False,False,Lluvioso,90,2.652391664619867
Norte,Siltoso,Trigo,181.5878606243205,26.752728580811905,True,False,Soleado,127,2.9437164569313867
Oeste,Arenoso,Trigo,395.0489682684721,17.646198956255336,False,True,Lluvioso,140,3.7072931271974814
Norte,Turba,Trigo,385.13531445805074,21.656191734884608,False,False,Soleado,73,2.564442460083202
Este,Arcilloso,Cebada,929.123735225548,29.677303136616587,False,True,Lluvioso,134,6.493030751726615
Norte,Turba,Cebada,621.7783877484308,26.84317297586692,True,False,Lluvioso,77,4.573219247646045
Este,Turba,Trigo,787.0843057303451,25.67291966184147,False,False,Nublado,68,4.366880610019926
Norte,Arenoso,Cebada,977.259083050616,17.604099566685584,False,True,Soleado,93,5.778099045403636
Sur,Arcilloso,Maiz,888.2076302639031,39.94550938125255,True,False,Lluvioso,76,7.173036676685684
Oeste,Franco,Cebada,183.9396983814888,34.227923053913315,True,False,Nublado,99,3.0179236315177227
Norte,Franco,Trigo,824.4399398812649,29.847431986455224,False,False,Soleado,100,4.551048007491094
Este,Calcáreo,Maiz,170.81445624277274,29.11637667829559,False,True,Soleado,133,2.332254903516705
Norte,Arcilloso,Trigo,615.3492037342064,27.75563189979995,True,False,Lluvioso,142,4.876587312241911
Oeste,Siltoso,Cebada,334.7285762625228,31.13704657931946,True,True,Soleado,140,4.459294446958366
Sur,Siltoso,Maiz,259.4181250519924,17.261892464157807,False,False,Soleado,110,2.338540521338672
Sur,Franco,Trigo,786.7701030524628,23.199371365983662,True,True,Lluvioso,123,6.9375893499971095
Este,Siltoso,Maiz,609.7987642233954,38.26585114142303,True,False,Nublado,127,5.113587741208609
Norte,Arcilloso,Trigo,356.8231001143165,36.57779720106093,True,False,Nublado,130,4.007912822234725
Norte,Arenoso,Cebada,475.78193494832936,22.946253681778643,False,False,Lluvioso,94,3.60749638077961
Este,Arcilloso,Maiz,599.8754926988229,19.909292317255968,True,False,Nublado,63,4.696425465494829
Sur,Arcilloso,Cebada,808.9816112885374,36.1305434344366,True,False,Nublado,66,6.314786277670487
Norte,Turba,Cebada,138.93849980414697,31.61116416810277,True,False,Nublado,139,2.368321659427831
Norte,Siltoso,Trigo,167.40435613392367,28.108389185504336,False,True,Lluvioso,148,2.968063048284602
Oeste,Siltoso,Trigo,680.1422118634024,34.484256729865244,True,False,Lluvioso,109,5.984756043683213
Este,Turba,Cebada,844.7742638964439,30.49371559645315,False,True,Lluvioso,142,5.681246361925467
Este,Franco,Maiz,695.2084130325485,23.7362852700333,True,False,Nublado,139,5.901756682022855
Norte,Arcilloso,Maiz,318.0130097637518,37.382964910798805,False,True,Lluvioso,121,4.127029291080366
Sur,Arcilloso,Cebada,765.6877926953334,26.56508717321321,False,False,Soleado,98,4.762386743016942
Oeste,Arenoso,Maiz,224.06871158323943,38.18668320627591,False,True,Lluvioso,132,2.4907765498564074
Norte,Arenoso,Trigo,435.2542292911728,25.496306246026577,False,True,Soleado,74,3.190074146074221
Sur,Calcáreo,Trigo,960.7875535025904,15.4870449781097,False,True,Lluvioso,132,6.4119307400345535
Norte,Arcilloso,Maiz,348.13101754208856,37.17467500872016,True,True,Nublado,148,5.020292174632507
Oeste,Franco,Trigo,624.7140208553816,29.02005232011186,True,True,Nublado,145,6.800510487395679
Norte,Arenoso,Maiz,191.11808349182184,19.549061846972634,True,False,Nublado,75,2.132985549733208
Este,Turba,Trigo,724.2630195642445,27.94708306220961,False,True,Nublado,126,5.762063329946928
Oeste,Calcáreo,Maiz,932.567436720578,38.301789131366895,True,False,Lluvioso,61,5.977477297025197
Sur,Arcilloso,Maiz,977.621748005476,23.76682166723735,True,True,Soleado,66,7.811581439707798
Oeste,Calcáreo,Maiz,257.0681167082623,18.541409937935235,True,False,Lluvioso,103,3.319474066762812
Sur,Calcáreo,Trigo,153.68873577260524,25.961829235218627,True,True,Lluvioso,60,3.306620713642445
Norte,Franco,Trigo,405.7389043297623,17.46057976749297,True,False,Lluvioso,145,4.263799479415195
Sur,Turba,Trigo,252.82362402974584,17.146998004246033,False,False,Soleado,76,0.616611522559738
Oeste,Siltoso,Maiz,903.7819487739728,20.596565059497003,False,False,Nublado,128,5.846681798158596
Oeste,Arcilloso,Cebada,175.0386515613911,23.827452933829964,True,True,Soleado,89,3.134432137244385
Sur,Turba,Cebada,300.3141572105216,17.577818192303237,False,True,Soleado,125,1.755992514630218
Norte,Franco,Cebada,254.9676836250977,27.06616028052614,True,True,Soleado,62,5.598945216845242
Norte,Siltoso,Trigo,154.85236870216494,36.82693035806727,False,True,Lluvioso,90,3.1455141103205566
Oeste,Calcáreo,Cebada,806.5720294863848,20.81661267684995,False,True,Nublado,96,5.65341200843604
Norte,Arcilloso,Trigo,153.01680340857266,26.796966973791022,False,False,Lluvioso,69,1.2245024308383687
Oeste,Arcilloso,Cebada,309.26730496813536,27.083934921161003,True,True,Nublado,88,5.578499499693215
Oeste,Franco,Trigo,569.9408717284921,27.556678336356924,False,True,Soleado,124,4.240602465331724
Oeste,Arenoso,Maiz,874.9747777488744,33.224869255647235,True,True,Soleado,132,7.657631965351055
Este,Franco,Trigo,768.7936109411228,30.91000164179674,False,False,Nublado,89,4.562419624250096
Norte,Franco,Trigo,564.0187603005688,39.56973317331324,False,False,Nublado,149,4.026689434807731
Norte,Arenoso,Maiz,432.40275278919336,26.293218128333628,True,False,Nublado,78,3.631689270841691
Norte,Arenoso,Maiz,607.008355113564,35.30531204105751,False,False,Lluvioso,73,3.626501341861153
Este,Siltoso,Maiz,207.92567070461195,34.01824557355419,False,True,Nublado,145,3.0017589945357703
Este,Calcáreo,Trigo,293.3722634889486,16.81147058709652,True,False,Soleado,123,3.4825365960718315
Norte,Turba,Maiz,532.7259782273959,39.4923619969621,False,False,Lluvioso,96,3.517322553103296
Oeste,Calcáreo,Maiz,457.9632768343624,26.39824880723853,True,True,Soleado,109,5.168214961526443
Este,Calcáreo,Cebada,604.5851305837389,36.9161762820011,True,False,Soleado,131,5.54609657971174
Oeste,Arcilloso,Trigo,133.18934108750224,27.798400981088488,True,False,Lluvioso,147,2.465217641351687
Norte,Franco,Trigo,769.7255412454226,24.89414113805054,True,False,Nublado,111,6.11748769954515
Oeste,Calcáreo,Trigo,438.3809948314026,28.878873050812967,True,True,Soleado,114,5.303775382196228
Norte,Arcilloso,Cebada,613.5724767496267,17.799164621808846,False,False,Nublado,90,3.684148244905824
Norte,Turba,Cebada,783.1492074621247,25.00899116264528,False,False,Nublado,68,4.806494805842171
Sur,Calcáreo,Cebada,266.0016256702375,15.384298937298558,False,False,Nublado,106,2.374553079794996
Este,Turba,Maiz,825.819175603022,33.66496049755402,False,True,Nublado,116,6.732700266401128
Sur,Arenoso,Maiz,858.499840074241,23.35944286890557,False,False,Soleado,136,3.953928978100549
Este,Calcáreo,Maiz,861.7907436699902,19.944298225052897,True,True,Nublado,134,7.696239337215915
